"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"65","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0.2","-1"
"64","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.19980000000000003","-0.333"
"72","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","4.0000000000001146E-4","-0.666"
"73","5","4","8","5","4","2","2","2","2","0","0.5","true","0.667","0.8004","0.334"
"74","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"70","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.5338","-0.33299999999999996"
"71","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.9338000000000001","0.334"
"79","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.6672","0.334"
"76","5","4","10","5","4","2","2","2","2","0","0.5","true","0.333","0.33280000000000004","-0.334"
"78","5","4","9","5","4","2","2","2","2","0","0.5","true","0.667","0.5338","0"
"77","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.133","-0.667"
"80","5","4","13","5","4","2","2","2","2","0","0.5","true","0.333","0.3996","-0.334"
"81","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0","-0.667"
"85","5","4","4","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"82","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.0668","-0.333"
"84","5","4","8","5","4","2","2","2","2","0","0.5","true","0.667","0.6002000000000001","-0.33299999999999996"
"83","5","4","10","5","4","2","2","2","2","0","0.5","true","0.333","0.3332","0"
"88","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","1.1338","0.334"
"89","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.333","-0.1996","-0.666"
"90","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.13319999999999999","0"
"86","5","4","8","5","4","2","2","2","2","0","0.5","true","0.667","0.6002000000000001","0"
"87","5","4","6","5","4","2","2","2","2","0","0.5","true","0","-1.1102230246251566E-17","-0.667"
"91","5","4","5","5","4","2","2","2","2","0","0.5","true","1","0.6666","0.33299999999999996"
"94","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.13340000000000002","-0.667"
"93","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.667","-0.467","-1.334"
"95","5","4","8","5","4","2","2","2","2","0","0.5","true","1","0.5997999999999999","0"
"92","5","4","10","5","4","2","2","2","2","0","0.5","true","0","-0.0668","-0.667"
"97","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.5336000000000001","0"
"96","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.2662","-0.666"
"99","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.2662","-0.667"
"98","5","4","8","5","4","2","2","2","2","0","0.5","true","0.667","0.5336000000000001","-0.33299999999999996"
"100","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0","-0.333"
"104","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.13340000000000002","-0.333"
"101","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0.0668","-0.333"
"105","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.4004","0"
"103","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.667","-0.6004","-1.334"
"102","5","4","10","5","4","2","2","2","2","0","0.5","true","1","0.6666","0.33299999999999996"
"108","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.333","-0.06619999999999998","-1.333"
"109","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.06640000000000001","-0.667"
"107","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0.13340000000000002","0"
"110","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.1328","-0.334"
"106","5","4","10","5","4","2","2","2","2","0","0.5","true","-0.667","-0.667","-1.334"
"115","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.9336000000000001","0.667"
"113","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.46620000000000006","-0.666"
