[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
5315;5;8;0.8;16;0.786;0.9430000000000001;0.643;[talk_agent know_agent neuro_agent agree_agent crit_agent f g h i j];TRUE;[4.2];[5.17];[4.03];[0.59];[0.64]
5784;5;8;0.8;16;0.786;0.9430000000000001;0.643;[crit_agent neuro_agent agree_agent crit_agent know_agent f g h i j];TRUE;[2.19];[0];[2.72];[0.76 0.87];[0.63]
7425;5;8;0.8;36;0.786;0.9430000000000001;0.643;[know_agent know_agent agree_agent crit_agent neuro_agent f g h i j];TRUE;[2.8];[0];[7.09];[0.78];[0.51 0.76]
5022;5;8;0.8;20;0.786;0.9430000000000001;0.786;[know_agent crit_agent crit_agent talk_agent neuro_agent f g h i j];TRUE;[0];[4.30];[3.94];[0.4 0.75];[0.82]
6856;5;8;0.8;16;0.786;0.9430000000000001;0.786;[crit_agent neuro_agent talk_agent crit_agent know_agent f g h i j];TRUE;[0];[4.23];[3.77];[0.28 0.68];[0.52]
7963;5;8;0.8;25;0.786;0.9430000000000001;0.857;[neuro_agent talk_agent crit_agent agree_agent neuro_agent f g h i j];TRUE;[6.10];[5.18];[2.80 4.43];[0.76];[0]
8594;5;8;0.8;22;0.786;0.9430000000000001;0.857;[neuro_agent know_agent crit_agent crit_agent neuro_agent f g h i j];TRUE;[0];[0];[3.52 2.62];[0.87 0.24];[0.51]
2670;5;8;0.8;15;0.786;0.9432;0.28600000000000003;[crit_agent crit_agent know_agent crit_agent talk_agent f g h i j];TRUE;[0];[3.32];[0];[0.97 0.41 0.6];[0.97]
3832;5;8;0.8;19;0.786;0.9432;0.42900000000000005;[know_agent neuro_agent talk_agent crit_agent neuro_agent f g h i j];TRUE;[0];[3.72];[3.77 3.72];[0.85];[0.9]
547;5;8;0.8;22;0.786;0.9432;0.5;[agree_agent know_agent agree_agent neuro_agent crit_agent f g h i j];TRUE;[3.4 6.35];[0];[3.86];[0.79];[0.78]
5411;5;8;0.8;27;0.786;0.9432;0.5;[neuro_agent know_agent crit_agent crit_agent agree_agent f g h i j];TRUE;[2.58];[0];[3.3];[0.47 0.89];[0.95]
5440;5;8;0.8;18;0.786;0.9432;0.5;[know_agent neuro_agent talk_agent crit_agent crit_agent f g h i j];TRUE;[0];[3.57];[2.17];[0.96 0.31];[0.84]
9108;5;8;0.8;13;0.786;0.9432;0.5;[crit_agent crit_agent know_agent crit_agent agree_agent f g h i j];TRUE;[2.8];[0];[0];[0.51 0.57 0.36];[0.93]
9619;5;8;0.8;23;0.786;0.9432;0.5;[crit_agent agree_agent crit_agent neuro_agent know_agent f g h i j];TRUE;[2.97];[0];[2.66];[0.96 0.52];[0.86]
